href,stress_address,city,state_and_zip,county,img_href,beds,bath,area,year_built,lot_size,walk_score,transit_score,bike_score,cooling,heating,has_pool,price
https://www.redfin.com/VA/Alexandria/8103-Fordson-Rd-22306/home/9816385,8103 Fordson Rd,Alexandria, VA 22306,Fairfax County,https://ssl.cdn-redfin.com/photo/235/bigphoto/286/VAFX2016286_3.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/286/genMid.VAFX2016286_15_9.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/286/genMid.VAFX2016286_46_1.jpg,4,3.5,2184,1967,0,56,43,44,0,0,0,777931
https://www.redfin.com/PA/Philadelphia/4723-Silverwood-St-19128/home/38532467,4723 Silverwood St,Philadelphia, PA 19128,Philadelphia County,https://ssl.cdn-redfin.com/photo/235/bigphoto/352/PAPH2043352_0.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/352/genMid.PAPH2043352_7_0.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/352/genMid.PAPH2043352_21_1.jpg,2,1,960,1935,0,75,49,37,0,0,0,230000
https://www.redfin.com/SC/Myrtle-Beach/651-McGee-Dr-29588/home/177014424,651 Mcgee Dr,Myrtle Beach, SC 29588,Horry County,https://ssl.cdn-redfin.com/photo/229/bigphoto/394/2124394_M.jpg https://ssl.cdn-redfin.com/photo/229/mbpaddedwide/394/genMid.2124394_8_L.jpg https://ssl.cdn-redfin.com/photo/229/mbpaddedwide/394/genMid.2124394_26_M.jpg,3,2,1960,1968,0,8,0,29,1,2,0,97900
https://www.redfin.com/TN/Chattanooga/2333-Janeview-Dr-37421/home/121243954,2333 Janeview Dr,Chattanooga, TN 37421,Hamilton County,https://ssl.cdn-redfin.com/photo/255/bigphoto/931/1345931_0.jpg https://ssl.cdn-redfin.com/photo/255/mbpaddedwide/931/genMid.1345931_8_0.jpg https://ssl.cdn-redfin.com/photo/255/mbpaddedwide/931/genMid.1345931_24_0.jpg,4,3,2100,1965,0,20,0,16,1,2,0,247500
https://www.redfin.com/IL/Chicago/10358-S-Christiana-Ave-60655/home/13154434,10358 S Christiana Ave,Chicago, IL 60655,Cook County,https://ssl.cdn-redfin.com/photo/68/bigphoto/498/11244498_0.jpg https://ssl.cdn-redfin.com/photo/68/mbpaddedwide/498/genMid.11244498_5_0.jpg https://ssl.cdn-redfin.com/photo/68/mbpaddedwide/498/genMid.11244498_15_0.jpg,3,2,1550,1946,0,68,43,60,2,2,0,399000
https://www.redfin.com/MA/Marlborough/206-W-Main-St-01752/unit-C/home/170439463,206 W Main Unit C,Marlborough, MA 01752,Middlesex County,https://ssl.cdn-redfin.com/photo/52/bigphoto/083/72857083_0.jpg https://ssl.cdn-redfin.com/photo/52/mbpaddedwide/083/genMid.72857083_4_0.jpg https://ssl.cdn-redfin.com/photo/52/mbpaddedwide/083/genMid.72857083_14_0.jpg,2,2,1445,2007,0,68,0,32,0,0,0,334900
https://www.redfin.com/NY/Cazenovia/1459-Nys-Rt-80-W-13035/home/174450577,1459 Nys Rt 80 W,Cazenovia, NY 13035,Madison County,https://ssl.cdn-redfin.com/photo/189/bigphoto/621/S1286621_1.jpg https://ssl.cdn-redfin.com/photo/189/mbpaddedwide/621/genMid.S1286621_9_1.jpg https://ssl.cdn-redfin.com/photo/189/mbpaddedwide/621/genMid.S1286621_27_1.jpg,3,2,2588,1968,0,68,0,39,0,0,0,525000
https://www.redfin.com/OH/Lancaster/2542-Heidelberg-Dr-43130/home/70622077,2542 Heidelberg Dr,Lancaster, OH 43130,Fairfield County,https://ssl.cdn-redfin.com/photo/160/bigphoto/463/221043463_3.jpg https://ssl.cdn-redfin.com/photo/160/mbpaddedwide/463/genMid.221043463_7_3.jpg https://ssl.cdn-redfin.com/photo/160/mbpaddedwide/463/genMid.221043463_21_2.jpg,5,2,1656,1977,0,9,0,28,0,0,0,289000
https://www.redfin.com/MA/Whitman/46-Church-St-02382/home/16457043,46 Church St,Whitman, MA 02382,Plymouth County,https://ssl.cdn-redfin.com/photo/52/bigphoto/136/72919136_0.jpg https://ssl.cdn-redfin.com/photo/52/mbpaddedwide/136/genMid.72919136_3_0.jpg https://ssl.cdn-redfin.com/photo/52/mbpaddedwide/136/genMid.72919136_11_0.jpg,6,3,3458,1890,0,66,0,54,0,0,0,649900
https://www.redfin.com/WI/Elkhart-Lake/454-E-Rhine-St-53020/home/90120915,454 E Rhine St,Listing provided courtesy of Pleasant View Realty, LLC.,Sheboygan County,https://ssl.cdn-redfin.com/photo/128/bigphoto/989/1769989_2.jpg https://ssl.cdn-redfin.com/photo/128/mbpaddedwide/989/genMid.1769989_6_2.jpg https://ssl.cdn-redfin.com/photo/128/mbpaddedwide/989/genMid.1769989_18_2.jpg,4,2,1736,1968,0,40,0,49,0,0,0,329000
